r2_pred,r2_utide,mae_pred,mae_utide,mse_pred,mse_utide
0.771836439267807,0.9269768602022432,0.3972212142987401,0.20480790673826413,0.25107407154029543,0.08035558774960902
-187.32913901677318,0.8532612230561107,11.603354793714287,0.22274134061481318,161.04186808624527,0.12547759142906784
0.5172067331350336,0.9094640239130956,0.5186899606890591,0.20272688397601765,0.4143683371687577,0.07770456723368875
0.2542221107571583,0.859804195490191,0.6656965677675158,0.2260701876503479,0.6963254185403025,0.13089943220494069
-0.9078698524023316,0.8828420859136497,0.978422448208655,0.23664879798069577,1.9250328760375306,0.1182118560237329
0.32834368216983,0.9441069931607103,0.7282894221728767,0.17648524259190934,0.7520935458760941,0.06258672566237553
-50.820240931259946,0.8602948955806498,7.082833588901441,0.2976578921154627,52.77383404420813,0.14227594976904126
0.6786920320844885,0.943991932688889,0.497543257732446,0.17707431663201942,0.36012771166440505,0.06277484261081297
-43.556904848160045,0.8568108572520636,6.209479594379763,0.2835728261091066,42.66102005918191,0.13709648172025193
-0.8816986323478166,0.8872255190506375,1.163791311439534,0.2316845889324759,1.9866938138091113,0.11906708109687264
