   113,2024/02/02 04:00:00,3.217,0.152  
   114,2024/02/02 04:15:00,3.334,0.177  
   115,2024/02/02 04:30:00,3.426,0.183  
   116,2024/02/02 04:45:00,3.491,0.170  
   117,2024/02/02 05:00:00,3.610,0.225  
   118,2024/02/02 05:15:00,3.685,0.250  
   119,2024/02/02 05:30:00,3.729,0.260  
   120,2024/02/02 05:45:00,3.763,0.277  
   121,2024/02/02 06:00:00,3.786,0.301  
   122,2024/02/02 06:15:00,3.808,0.341  
   123,2024/02/02 06:30:00,3.773,0.341  
   124,2024/02/02 06:45:00,3.759,0.378  
   125,2024/02/02 07:00:00,3.694,0.380  
   126,2024/02/02 07:15:00,3.645,0.413  
   127,2024/02/02 07:30:00,3.555,0.418  
   128,2024/02/02 07:45:00,3.451,0.421  
   129,2024/02/02 08:00:00,3.368,0.455  
   130,2024/02/02 08:15:00,3.236,0.447  
   131,2024/02/02 08:30:00,3.123,0.463  
   132,2024/02/02 08:45:00,2.994,0.463  
   133,2024/02/02 09:00:00,2.863,0.460  
   134,2024/02/02 09:15:00,2.740,0.460  
   135,2024/02/02 09:30:00,2.646,0.481  
   136,2024/02/02 09:45:00,2.517,0.457  
   137,2024/02/02 10:00:00,2.450,0.485  
   138,2024/02/02 10:15:00,2.350,0.468  
   139,2024/02/02 10:30:00,2.292,0.480  
   140,2024/02/02 10:45:00,2.231,0.475  
   141,2024/02/02 11:00:00,2.198,0.483  
   142,2024/02/02 11:15:00,2.159,0.468  
   143,2024/02/02 11:30:00,2.202,0.518  
   144,2024/02/02 11:45:00,2.210,0.514  
   145,2024/02/02 12:00:00,2.271,0.547  
   146,2024/02/02 12:15:00,2.278,0.509  
   147,2024/02/02 12:30:00,2.353,0.526  
   148,2024/02/02 12:45:00,2.448,0.550  
   149,2024/02/02 13:00:00,2.483,0.502  
   150,2024/02/02 13:15:00,2.629,0.554  
   151,2024/02/02 13:30:00,2.697,0.519  
   152,2024/02/02 13:45:00,2.860,0.569  
   153,2024/02/02 14:00:00,2.940,0.531  
   154,2024/02/02 14:15:00,3.076,0.547  
   155,2024/02/02 14:30:00,3.209,0.561  
   156,2024/02/02 14:45:00,3.333,0.570  
   157,2024/02/02 15:00:00,3.405,0.535  
   158,2024/02/02 15:15:00,3.524,0.554  
   159,2024/02/02 15:30:00,3.609,0.547  
   160,2024/02/02 15:45:00,3.675,0.526  
   161,2024/02/02 16:00:00,3.756,0.525  
   162,2024/02/02 16:15:00,3.825,0.515  
   163,2024/02/02 16:30:00,3.863,0.479  
   164,2024/02/02 16:45:00,3.964,0.512  
