future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,01-20 12:15,2.1125894,2.377,2.083593092622807
25,01-20 12:30,2.0283809,2.255,1.9987930252271875
25,01-20 12:45,1.9744508,2.228,1.9271204138944733
25,01-20 13:00,1.9181161,2.091,1.8692884763324795
25,01-20 13:15,1.8756543,2.055,1.825728466211523
25,01-20 13:30,1.8470387,2.023,1.7966935129517532
25,01-20 13:45,1.8324387,1.982,1.7823515249177448
25,01-20 14:00,1.8318259,2.022,1.7828404888153866
25,01-20 14:15,1.8462824,2.012,1.798269835521413
25,01-20 14:30,1.8740686,2.103,1.8286663035552408
25,01-20 14:45,1.9151988,2.141,1.8738781518716865
25,01-20 15:00,1.9685743,2.23,1.933463735529307
25,01-20 15:15,2.033468,2.269,2.006596212956083
25,01-20 15:30,2.1086369,2.402,2.092013864133533
25,01-20 15:45,2.1932395,2.485,2.188035615665094
25,01-20 16:00,2.2858167,2.617,2.292646166495372
25,01-20 16:15,2.3848493,2.688,2.4036382103213003
25,01-20 16:30,2.488555,2.8579999999999997,2.5187848850804726
25,01-20 16:45,2.596836,2.9549999999999996,2.6360072669511787
25,01-20 17:00,2.707883,3.112,2.7535016020527454
25,01-20 17:15,2.8194823,3.225,2.8697993367459427
25,01-20 17:30,2.9304936,3.336,2.983747919788131
25,01-20 17:45,3.0388443,3.458,3.0944183537233076
25,01-20 18:00,3.1438258,3.5600000000000005,3.2009624494056084
25,01-20 18:15,3.2424734,3.691,3.3024545816411575
25,01-20 18:30,3.3343847,3.773,3.3977566574874443
25,01-20 18:45,3.4164233,3.909,3.4854401479996557
25,01-20 19:00,3.5128686,3.939,3.5637864285745127
25,01-20 19:15,3.5747454,4.027,3.630869275967086
25,01-20 19:30,3.622744,4.085,3.684705291909169
25,01-20 19:45,3.6553776,4.111,3.7234433190203697
25,01-20 20:00,3.6735253,4.14,3.745555907777896
25,01-20 20:15,3.6753404,4.132,3.749996307920501
25,01-20 20:30,3.662319,4.134,3.736292896206785
25,01-20 20:45,3.6314356,4.072,3.704567271308443
25,01-20 21:00,3.586316,4.014,3.655478954588525
25,01-20 21:15,3.5250885,3.959,3.590114754895698
25,01-20 21:30,3.4490385,3.859,3.509851014431249
25,01-20 21:45,3.3600166,3.726,3.4162199908416016
25,01-20 22:00,3.259262,3.65,3.310807228044761
25,01-20 22:15,3.147342,3.505,3.195196437319994
25,01-20 22:30,3.0277197,3.36,3.0709648971563985
25,01-20 22:45,2.9009867,3.208,2.939719213635823
25,01-20 23:00,2.7700486,3.018,2.803151713665354
25,01-20 23:15,2.6365001,2.87,2.6630938284169905
25,01-20 23:30,2.5024333,2.713,2.521545299307796
25,01-20 23:45,2.3699818,2.539,2.3806659172743485
25,01-21 00:00,2.2421784,2.372,2.242727325560204
25,01-21 00:15,2.1208308,2.261,2.1100332953466743
25,01-21 00:30,2.0077605,2.117,1.984824944889388
25,01-21 00:45,1.9053094,1.988,1.869190474572172
25,01-21 01:00,1.8145974,1.85,1.7649966323264017
25,01-21 01:15,1.8045719,1.768,1.6738521589126012
25,01-21 01:30,1.7324095,1.668,1.597103886161529
25,01-21 01:45,1.6756192,1.579,1.5358568565058808
25,01-21 02:00,1.6347976,1.514,1.4910034116224713
25,01-21 02:15,1.6092576,1.458,1.4632444122117434
25,01-21 02:30,1.6002406,1.466,1.453089204186207
25,01-21 02:45,1.6077647,1.408,1.4608286376636344
25,01-21 03:00,1.6312587,1.479,1.4864851897853917
25,01-21 03:15,1.6702561,1.474,1.5297533144247903
25,01-21 03:30,1.7234992,1.587,1.5899488274952749
25,01-21 03:45,1.7910076,1.662,1.665986655062622
25,01-21 04:00,1.8710752,1.761,1.7564011938941255
25,01-21 04:15,1.962788,1.901,1.8594138904401565
25,01-21 04:30,2.0647757,1.995,1.9730408719119676
25,01-21 04:45,2.175054,2.123,2.095222573689071
25,01-21 05:00,2.291871,2.227,2.223950217082653
25,01-21 05:15,2.414742,2.36,2.357362895371772
25,01-21 05:30,2.541642,2.485,2.493794471539316
25,01-21 05:45,2.6703885,2.612,2.6317604244808774
25,01-21 06:00,2.7992606,2.756,2.7698888453534556
