future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-28 23:15,2.8304353,3.012,2.74813574497832,1.5507257
25,12-28 23:30,2.9259434,3.134,2.8449372065617644,1.647081
25,12-28 23:45,3.015323,3.264,2.9406057142148336,1.7530626
25,12-29 00:00,3.095577,3.389,3.033071151404904,1.8601344
25,12-29 00:15,3.1686275,3.504,3.1197089077230222,1.9649627
25,12-29 00:30,3.2282867,3.601,3.1975642366638297,2.0733595
25,12-29 00:45,3.2801325,3.682,3.263613783034742,2.1786275
25,12-29 01:00,3.32148,3.754,3.315033655711782,2.27758
25,12-29 01:15,3.3397386,3.811,3.3494420883237126,2.3700142
25,12-29 01:30,3.3462155,3.846,3.365087379492761,2.4603565
25,12-29 01:45,3.327716,3.828,3.360958621033212,2.5414972
25,12-29 02:00,3.2987804,3.793,3.3368073477137203,2.623486
25,12-29 02:15,3.2535732,3.737,3.293081498824297,2.6959622
25,12-29 02:30,3.1864376,3.641,3.2307869989658395,2.763002
25,12-29 02:45,3.105566,3.526,3.1513045312694645,2.8239508
25,12-29 03:00,3.0412617,3.382,3.0561972525238854,2.8883972
25,12-29 03:15,2.9436755,3.219,2.947047378752325,2.9419649
25,12-29 03:30,2.8386686,3.029,2.8253548541178004,2.9869576
25,12-29 03:45,2.711196,2.857,2.6925199332346463,3.0175788
25,12-29 04:00,2.5807993,2.69,2.54991518243239,3.038974
25,12-29 04:15,2.4394844,2.5080000000000005,2.399033976778544,3.0452685
25,12-29 04:30,2.286399,2.343,2.2416853522045552,3.042172
25,12-29 04:45,2.1243062,2.174,2.080192601277472,3.020449
25,12-29 05:00,1.9784895,2.015,1.917548027564184,2.990816
25,12-29 05:15,1.8303838,1.88,1.7574800667523804,2.94676
25,12-29 05:30,1.6968516,1.761,1.6044014373844997,2.8881462
25,12-29 05:45,1.5720598,1.642,1.4632261933719208,2.8157291
25,12-29 06:00,1.4665986,1.53,1.3390660762176387,2.733073
25,12-29 06:15,1.3781486,1.444,1.2368385308875267,2.6368341
25,12-29 06:30,1.3046864,1.373,1.1608361153144393,2.5313294
25,12-29 06:45,1.2714348,1.342,1.1143164481491448,2.418877
25,12-29 07:00,1.261159,1.322,1.0991716535955285,2.3000243
25,12-29 07:15,1.2714989,1.336,1.1157263618193949,2.1785464
25,12-29 07:30,1.3040031,1.357,1.1626953586966973,2.048238
25,12-29 07:45,1.3598487,1.395,1.2373091524201718,1.9262966
25,12-29 08:00,1.4396145,1.461,1.3355918231190078,1.8042493
25,12-29 08:15,1.5405989,1.542,1.452754516576872,1.6913877
25,12-29 08:30,1.6561207,1.65,1.5836530943068516,1.5881997
25,12-29 08:45,1.779905,1.756,1.7232517043393432,1.495506
25,12-29 09:00,1.905819,1.877,1.8670360451008177,1.4164302
25,12-29 09:15,2.1030183,1.993,2.011329841194557,1.2826414
25,12-29 09:30,2.2373579,2.125,2.153483394655198,1.2316668
25,12-29 09:45,2.3783433,2.252,2.291921394621783,1.1995771
25,12-29 10:00,2.5119014,2.39,2.4260554526747584,1.1834903
25,12-29 10:15,2.6437538,2.521,2.55608259380769,1.1871061
25,12-29 10:30,2.7685947,2.65,2.682702569626598,1.2103738
25,12-29 10:45,2.8919373,2.77,2.8067933932907376,1.2502933
25,12-29 11:00,3.0020604,2.889,2.929085934239274,1.3012841
25,12-29 11:15,3.1139147,3.012,3.049875494642875,1.3751482
25,12-29 11:30,3.2159932,3.141,3.1688018777367697,1.4584543
25,12-29 11:45,3.3141408,3.265,3.284720622175034,1.5526466
25,12-29 12:00,3.402514,3.376,3.3956778914220003,1.650072
25,12-29 12:15,3.482709,3.482,3.4989906668271007,1.7569175
25,12-29 12:30,3.547141,3.57,3.591423089107096,1.8647562
25,12-29 12:45,3.5997834,3.657,3.669439803144244,1.9702307
25,12-29 13:00,3.6406498,3.715,3.729508629653657,2.0792024
25,12-29 13:15,3.6648893,3.765,3.768418722768674,2.1848817
25,12-29 13:30,3.673392,3.79,3.783577596642703,2.2842371
25,12-29 13:45,3.6560326,3.787,3.7732517288149623,2.376984
25,12-29 14:00,3.6221886,3.763,3.7367213767435303,2.467483
25,12-29 14:15,3.5662134,3.703,3.674330625272671,2.5489228
25,12-29 14:30,3.496094,3.622,3.5874274961940875,2.6311593
25,12-29 14:45,3.4052403,3.509,3.4782045230064487,2.7037148
25,12-29 15:00,3.2940621,3.37,3.3494651069804564,2.770754
25,12-29 15:15,3.167428,3.213,3.204352639637141,2.831633
25,12-29 15:30,2.8756206,3.0410000000000004,3.046085544018684,2.89518
25,12-29 15:45,2.7486405,2.856,2.8777403714588976,2.9488313
25,12-29 16:00,2.6059713,2.67,2.702116620131867,2.9936671
25,12-29 16:15,2.4479952,2.483,2.5217021119728766,3.0240164
25,12-29 16:30,2.2810845,2.289,2.338738785345399,3.0450084
25,12-29 16:45,2.1122983,2.098,2.155369108225768,3.0507696
25,12-29 17:00,1.9346575,1.91,1.9738267088512915,3.0469432
25,12-29 17:15,1.7570194,1.732,1.7966244166942915,3.024444
25,12-29 17:30,1.5972842,1.555,1.6266911493654517,2.9938412
25,12-29 17:45,1.4440173,1.385,1.4674166798651649,2.948733
25,12-29 18:00,1.3073215,1.223,1.3225790336052248,2.888998
25,12-29 18:15,1.1871879,1.084,1.1961505671301798,2.815366
25,12-29 18:30,1.090932,0.965,1.0920017964432331,2.7314768
25,12-29 18:45,1.0206147,0.871,1.0135423675851256,2.634014
