future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-18 18:45,2.3790016,2.388,2.15720581634663,2.6096854
25,12-18 19:00,2.479922,2.491,2.283756024688823,2.7398946
25,12-18 19:15,2.5800138,2.628,2.419181593857519,2.8665645
25,12-18 19:30,2.6734786,2.758,2.561015151199496,2.990524
25,12-18 19:45,2.759454,2.891,2.706637647936898,3.1065607
25,12-18 20:00,2.8361363,3.048,2.853310362740923,3.2155461
25,12-18 20:15,2.9098935,3.188,2.998219478704412,3.3131907
25,12-18 20:30,2.9725735,3.322,3.1385404156929195,3.4004588
25,12-18 20:45,3.0247526,3.478,3.271525809986372,3.47598
25,12-18 21:00,3.0691175,3.617,3.3946153063070805,3.5367446
25,12-18 21:15,3.1068761,3.713,3.5055582224974247,3.5855136
25,12-18 21:30,3.1386256,3.812,3.602533449829414,3.6184566
25,12-18 21:45,3.1644838,3.915,3.684246697318753,3.6370783
25,12-18 22:00,3.1830888,3.987,3.749984800921133,3.6427186
25,12-18 22:15,3.1978648,4.047,3.799611090441165,3.632108
25,12-18 22:30,3.2038074,4.124,3.833494498104681,3.6084046
25,12-18 22:45,3.2054648,4.153,3.852376679959508,3.5727968
25,12-18 23:00,3.199879,4.176,3.857193690082566,3.52348
25,12-18 23:15,3.238246,4.195,3.8488790921062335,3.4679992
25,12-18 23:30,3.2210793,4.178,3.8281813391058575,3.4022892
25,12-18 23:45,3.1912775,4.15,3.795528226404476,3.3272014
25,12-19 00:00,3.1490047,4.114,3.750964796232191,3.2418165
25,12-19 00:15,3.0913036,4.107,3.6941791758857274,3.149005
25,12-19 00:30,3.0258517,4.095,3.624615645236589,3.0488179
25,12-19 00:45,2.950639,4.064,3.541658627176861,2.9437299
25,12-19 01:00,2.8658733,4.012,3.444858359702368,2.8311374
25,12-19 01:15,2.7749913,3.913,3.334161337322972,2.7172525
25,12-19 01:30,2.6784434,3.831,3.2101076249569984,2.6011095
25,12-19 01:45,2.577694,3.729,3.0739630152872626,2.484377
25,12-19 02:00,2.4787798,3.595,2.9277654862833185,2.369739
25,12-19 02:15,2.3791041,3.444,2.774280029192869,2.2576327
25,12-19 02:30,2.2835405,3.3069999999999995,2.61687080697834,2.150672
25,12-19 02:45,2.1934159,3.142,2.459311943104336,2.0516286
25,12-19 03:00,2.1092694,2.959,2.305565706930381,1.96066
25,12-19 03:15,2.0351408,2.803,2.1595585341107806,1.8808532
25,12-19 03:30,1.9662637,2.643,2.024981442300985,1.8135253
25,12-19 03:45,1.9098511,2.528,1.905133210133695,1.7604591
25,12-19 04:00,1.8648818,2.456,1.8028144928177812,1.7228765
25,12-19 04:15,1.8318036,2.36,1.7202712082802505,1.7018261
25,12-19 04:30,1.8104242,2.302,1.6591779728273433,1.6976047
25,12-19 04:45,1.8043659,2.292,1.6206485065745129,1.7118553
25,12-19 05:00,1.806953,2.273,1.6052599707864768,1.7411624
25,12-19 05:15,1.8258194,2.283,1.6130813630924634,1.7894351
25,12-19 05:30,1.938473,2.317,1.6437010580318998,1.8696425
25,12-19 05:45,2.0189106,2.354,1.696253571016296,1.9520462
25,12-19 06:00,2.1103103,2.412,1.769449152322822,2.046318
25,12-19 06:15,2.2104645,2.49,1.8616110101902763,2.1516063
25,12-19 06:30,2.3216856,2.551,1.9707236373585024,2.2660625
25,12-19 06:45,2.4396536,2.6169999999999995,2.094492615111158,2.3863902
25,12-19 07:00,2.5585659,2.73,2.230412575689584,2.511729
25,12-19 07:15,2.6755261,2.831,2.375837036007016,2.639075
25,12-19 07:30,2.7893145,2.943,2.528042809866786,2.7658825
25,12-19 07:45,2.8992133,3.087,2.684283087003542,2.888801
25,12-19 08:00,2.9976113,3.233,2.8418267408108853,3.0085533
25,12-19 08:15,3.0878668,3.378,2.997986163476144,3.1202927
25,12-19 08:30,3.1638083,3.542,3.1501403618149344,3.2247424
25,12-19 08:45,3.2351532,3.704,3.29576267973938,3.3180032
25,12-19 09:00,3.294856,3.849,3.4324623918704016,3.4009206
25,12-19 09:15,3.341672,3.984,3.558046017700009,3.4722364
25,12-19 09:30,3.3796053,4.111,3.670598083585975,3.5291712
25,12-19 09:45,3.4103496,4.212,3.768573703968917,3.5743368
25,12-19 10:00,3.4352915,4.31,3.850888506272587,3.6041381
