future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-13 06:45,2.2171934,1.398,1.3815702570900044,2.2021148
25,12-13 07:00,2.134633,1.2859999999999998,1.275038679374069,2.0760531
25,12-13 07:15,2.061275,1.245,1.1941518195319076,1.9585894
25,12-13 07:30,1.9985864,1.279,1.1402029899155766,1.8508899
25,12-13 07:45,1.9470037,1.235,1.1138907113427847,1.7560401
25,12-13 08:00,1.9078459,1.316,1.1153557589667549,1.6739688
25,12-13 08:15,1.8812586,1.36,1.1442165725323663,1.6056235
25,12-13 08:30,1.8677969,1.435,1.199593257946029,1.5536371
25,12-13 08:45,1.8667924,1.5490000000000002,1.2801195432840833,1.5180191
25,12-13 09:00,1.8783774,1.6479999999999997,1.3839509854091363,1.4998056
25,12-13 09:15,1.9017396,1.819,1.5087836884105872,1.4980408
25,12-13 09:30,1.937841,1.957,1.6518987776742504,1.5134951
25,12-13 09:45,1.9857104,2.156,1.8102434360632875,1.5470732
25,12-13 10:00,2.045783,2.342,1.9805504166584724,1.5967011
25,12-13 10:15,2.1154096,2.5719999999999996,2.159486862865229,1.6620586
25,12-13 10:30,2.1935205,2.783,2.3438131804670284,1.7412523
25,12-13 10:45,2.2782774,2.956,2.5305264356119177,1.8338257
25,12-13 11:00,2.369699,3.145,2.7169623176462356,1.9382167
25,12-13 11:15,2.4651606,3.318,2.900835883591323,2.0517497
25,12-13 11:30,2.5639122,3.514,3.080212861427494,2.173326
25,12-13 11:45,2.662702,3.662,3.2534177097818167,2.2991273
25,12-13 12:00,2.674932,3.839,3.4188987190270295,2.4236553
25,12-13 12:15,2.7613778,4.004,3.575080617992516,2.5575655
25,12-13 12:30,2.84368,4.14,3.72023885470995,2.6874392
25,12-13 12:45,2.9217877,4.271,3.852425999683773,2.8163712
25,12-13 13:00,2.9954243,4.38,3.969470082143277,2.940616
25,12-13 13:15,3.062905,4.455,4.069049460441796,3.0596747
25,12-13 13:30,3.124422,4.508,4.148832593392146,3.173172
25,12-13 13:45,3.1759126,4.536,4.206657378976597,3.27569
25,12-13 14:00,3.21948,4.542,4.240716711684013,3.3687563
25,12-13 14:15,3.251433,4.501,4.249716413857016,3.4486926
25,12-13 14:30,3.272409,4.434,4.232978595110803,3.51775
25,12-13 14:45,3.2815347,4.359,4.190476094139618,3.5716836
25,12-13 15:00,3.2786443,4.26,4.12279889995712,3.6119595
25,12-13 15:15,3.263762,4.141,4.031067652888784,3.6354198
25,12-13 15:30,3.237502,3.994,3.9168192744246526,3.6426027
25,12-13 15:45,3.199751,3.826,3.7818932311495335,3.6334796
25,12-13 16:00,3.151483,3.631,3.628343367890253,3.6070294
25,12-13 16:15,3.0924518,3.462,3.458390895421895,3.5645843
25,12-13 16:30,3.024602,3.24,3.2744214201138173,3.5052094
25,12-13 16:45,2.94839,3.029,3.0790162256016615,3.4309468
25,12-13 17:00,2.8655198,2.806,2.8749985821273865,3.3416505
25,12-13 17:15,2.7773442,2.592,2.665471749506768,3.2397041
25,12-13 17:30,2.684645,2.369,2.4538275065602395,3.126537
25,12-13 17:45,2.5903583,2.171,2.243711707317764,3.0046275
25,12-13 18:00,2.495352,1.9650000000000003,2.038944153648511,2.8754892
25,12-13 18:15,2.447298,1.81,1.8434012250206493,2.7350128
25,12-13 18:30,2.351539,1.625,1.660878296494571,2.5955222
25,12-13 18:45,2.2596965,1.4879999999999998,1.494952664490513,2.4593887
25,12-13 19:00,2.1738334,1.36,1.3488658903235269,2.323665
25,12-13 19:15,2.0950181,1.266,1.2254378652484512,2.1928353
25,12-13 19:30,2.0259247,1.18,1.127015387442262,2.068145
25,12-13 19:45,1.9676081,1.131,1.0554486088754071,1.9522123
25,12-13 20:00,1.9212883,1.11,1.012082077794351,1.8461773
25,12-13 20:15,1.8872043,1.105,0.9977451646253652,1.7530831
25,12-13 20:30,1.8660743,1.165,1.0127301936961268,1.6728319
25,12-13 20:45,1.8582972,1.213,1.056754603789591,1.6063722
25,12-13 21:00,1.8637984,1.316,1.1289136426355972,1.5562555
25,12-13 21:15,1.8817577,1.4269999999999998,1.2276394995720852,1.5224955
25,12-13 21:30,1.9118066,1.559,1.350688318839992,1.5060796
25,12-13 21:45,1.9528826,1.731,1.4951761683517917,1.5060048
25,12-13 22:00,2.0056427,1.89,1.6576781336286373,1.5230303
25,12-13 22:15,2.06863,2.104,1.8343923198703107,1.5580255
25,12-13 22:30,2.1423483,2.272,2.021355516099709,1.6089045
25,12-13 22:45,2.223886,2.47,2.214683152212454,1.6753154
25,12-13 23:00,2.3118691,2.665,2.410796619205459,1.7553558
25,12-13 23:15,2.404153,2.864,2.606599041631611,1.8485587
25,12-13 23:30,2.500845,3.0389999999999997,2.7995672212839455,1.9533466
25,12-13 23:45,2.5994442,3.229,2.987741854238817,2.0670583
25,12-14 00:00,2.6990573,3.403,3.169617677626145,2.1885977
25,12-14 00:15,2.7965693,3.595,3.3439556181901753,2.314156
25,12-14 00:30,2.8267882,3.755,3.509555748754235,2.4381254
25,12-14 00:45,2.9116151,3.913,3.6650391652777943,2.5716293
25,12-14 01:00,2.990442,4.046,3.80868625783712,2.700905
25,12-14 01:15,3.062928,4.152,3.938368121156409,2.8290455
25,12-14 01:30,3.1289582,4.226,4.0515892767019945,2.9523437
25,12-14 01:45,3.1866353,4.285,4.145637219328108,3.07029
25,12-14 02:00,3.2367477,4.315,4.21781247182533,3.1825433
25,12-14 02:15,3.274986,4.322,4.265696664366281,3.2836816
25,12-14 02:30,3.3037026,4.307,4.287409003849578,3.3752813
25,12-14 02:45,3.3197124,4.259,4.281804879049221,3.4536624
25,12-14 03:00,3.3237593,4.203,4.248583407851981,3.521073
25,12-14 03:15,3.3153534,4.107,4.188290334438929,3.5733309
25,12-14 03:30,3.2945924,4.013,4.102224436535803,3.6118877
25,12-14 03:45,3.2619166,3.883,3.9922746180405664,3.6336257
25,12-14 04:00,3.2184868,3.7280000000000006,3.8607269934826833,3.639129
25,12-14 04:15,3.1641467,3.559,3.710084140859213,3.6283662
25,12-14 04:30,3.10047,3.379999999999999,3.5429319355947,3.6003704
25,12-14 04:45,3.0274181,3.181,3.361874975307378,3.5564768
25,12-14 05:00,2.9471483,3.0,3.169543257337919,3.4957886
25,12-14 05:15,2.8605194,2.784,2.9686547417542246,3.420364
25,12-14 05:30,2.7696204,2.586,2.7621050107263634,3.3300881
25,12-14 05:45,2.6758127,2.378,2.553049391675169,3.227363
25,12-14 06:00,2.5798776,2.167,2.344945501225696,3.113633
25,12-14 06:15,2.4848692,2.003,2.14153434545614,2.9913743
25,12-14 06:30,2.3914924,1.803,1.9467531367202964,2.862113
25,12-14 06:45,2.3454795,1.64,1.764588884127197,2.721885
25,12-14 07:00,2.2561643,1.472,1.5988949463950106,2.5828846
25,12-14 07:15,2.172682,1.366,1.453200121683988,2.447475
25,12-14 07:30,2.0970776,1.277,1.3305399055360487,2.3127244
25,12-14 07:45,2.030066,1.2,1.2333329073279504,2.1830728
25,12-14 08:00,1.9739126,1.194,1.1633141119226973,2.059746
25,12-14 08:15,1.9296775,1.164,1.1215237312357194,1.9453427
25,12-14 08:30,1.8980042,1.212,1.1083393331585818,1.8409772
25,12-14 08:45,1.8789326,1.254,1.1235323937495294,1.7496501
25,12-14 09:00,1.8729223,1.341,1.1663297335704157,1.6712366
25,12-14 09:15,1.879978,1.414,1.2354653003046594,1.6066861
25,12-14 09:30,1.8998268,1.526,1.3292165718335454,1.5584674
25,12-14 09:45,1.9313912,1.669,1.4454297256070778,1.5265995
25,12-14 10:00,1.974221,1.815,1.581545635287983,1.5120193
25,12-14 10:15,2.027034,1.984,1.734642199598537,1.5136762
25,12-14 10:30,2.090182,2.157,1.9015064194896387,1.5323175
25,12-14 10:45,2.1623442,2.376,2.0787423590452856,1.5687761
25,12-14 11:00,2.2436826,2.577,2.26291049419143,1.6209545
25,12-14 11:15,2.331299,2.7780000000000005,2.450683037816304,1.6884677
25,12-14 11:30,2.4238918,2.97,2.638991641156391,1.7694037
25,12-14 11:45,2.5193942,3.142,2.8251409242109697,1.8632834
25,12-14 12:00,2.6177084,3.297,3.006865019084567,1.9685137
25,12-14 12:15,2.716381,3.480999999999999,3.18231413789455,2.082447
25,12-14 12:30,2.814666,3.638,3.349972074978113,2.2039895
25,12-14 12:45,2.9093533,3.793,3.508520519312903,2.3293414
25,12-14 13:00,2.9462163,3.9260000000000006,3.6566783525815936,2.452802
25,12-14 13:15,3.0243742,4.056,3.7930507011394865,2.5859292
25,12-14 13:30,3.0943806,4.18,3.916021752455226,2.7146301
25,12-14 13:45,3.156046,4.267,4.023717017610095,2.8419976
25,12-14 14:00,3.2089987,4.357,4.114046578402912,2.9643624
25,12-14 14:15,3.251702,4.404,4.184824128982221,3.0812027
25,12-14 14:30,3.285031,4.426,4.23394093336629,3.1922128
25,12-14 14:45,3.3049254,4.408,4.25956274139527,3.2919652
25,12-14 15:00,3.3140903,4.37,4.260313743550013,3.3820863
25,12-14 15:15,3.309528,4.314,4.235415469238504,3.4588935
25,12-14 15:30,3.2921102,4.24,4.184759153563304,3.5246327
25,12-14 15:45,3.2620447,4.15,4.108904900760963,3.5751846
25,12-14 16:00,3.2196512,4.022,4.0090163797894345,3.6119857
25,12-14 16:15,3.165483,3.89,3.8867522986284193,3.6319604
25,12-14 16:30,3.1013803,3.731,3.74414267690667,3.6357405
25,12-14 16:45,3.0273957,3.545,3.583477681488135,3.62329
25,12-14 17:00,2.945509,3.357,3.4072300024301616,3.593699
25,12-14 17:15,2.855929,3.136,3.2180202932511643,3.5483062
25,12-14 17:30,2.7611823,2.937,3.0186222194019736,3.4862525
25,12-14 17:45,2.6623325,2.6899999999999995,2.811992506359079,3.4096153
25,12-14 18:00,2.5618446,2.4620000000000006,2.6013045953502063,3.3183105
25,12-14 18:15,2.4611385,2.242,2.389963737976967,3.214759
25,12-14 18:30,2.3613243,2.04,2.1815865297870274,3.1004221
25,12-14 18:45,2.2653735,1.812,1.979937205901412,2.977774
25,12-14 19:00,2.1742542,1.643,1.7888240566937554,2.8483546
25,12-14 19:15,2.147843,1.479,1.6119691110933163,2.7083368
25,12-14 19:30,2.0645401,1.3470000000000002,1.4528700849741585,2.5698042
25,12-14 19:45,1.9896055,1.237,1.314674316708953,2.4351034
25,12-14 20:00,1.9252425,1.142,1.200080043458572,2.3013177
25,12-14 20:15,1.8712367,1.072,1.1112722291517558,2.1728423
25,12-14 20:30,1.8301768,1.054,1.049890883326242,2.050885
25,12-14 20:45,1.802366,1.031,1.0170220996526345,1.938023
25,12-14 21:00,1.7882396,1.08,1.0131980921236134,1.8353468
25,12-14 21:15,1.7876726,1.114,1.0383936178707531,1.7458122
25,12-14 21:30,1.800346,1.208,1.0920119710524754,1.669268
25,12-14 21:45,1.8266016,1.3449999999999998,1.1728625054856077,1.6066641
25,12-14 22:00,1.865566,1.482,1.2791407784832596,1.5603855
25,12-14 22:15,1.916033,1.621,1.408428886969093,1.5304558
25,12-14 22:30,1.9770437,1.818,1.5577351003935451,1.517761
25,12-14 22:45,2.047047,2.027,1.7235873428179334,1.5212018
25,12-14 23:00,2.1261327,2.234,1.9021848851797536,1.5415125
25,12-14 23:15,2.2125463,2.445,2.0895990505771844,1.5794891
25,12-14 23:30,2.3065367,2.647,2.281999973758837,1.6330209
25,12-14 23:45,2.4050453,2.881,2.475876061450612,1.7016897
25,12-15 00:00,2.5064702,3.035,2.6682090146380584,1.7835724
25,12-15 00:15,2.608595,3.211,2.856571608047159,1.878177
25,12-15 00:30,2.7113395,3.366,3.0391276370478035,1.9838951
25,12-15 00:45,2.812492,3.513,3.214531544084847,2.0980902
25,12-15 01:00,2.91116,3.678,3.3817453288707755,2.2196722
25,12-15 01:15,3.0044508,3.836,3.5398080149946347,2.3448482
25,12-15 01:30,3.0632007,4.006,3.6876042375518474,2.4678457
25,12-15 01:45,3.140328,4.142,3.823680439313837,2.6006224
25,12-15 02:00,3.2077508,4.252,3.9461489340640266,2.7287688
25,12-15 02:15,3.2648034,4.353,4.052703305057449,2.8553755
25,12-15 02:30,3.3112504,4.436,4.140746537083751,2.9768116
25,12-15 02:45,3.3453677,4.441,4.207610645924246,3.0925436
25,12-15 03:00,3.3685493,4.461,4.250828335958341,3.2023005
25,12-15 03:15,3.3766737,4.45,4.268407193966185,3.3006494
25,12-15 03:30,3.3727067,4.404,4.259057286998825,3.3892665
25,12-15 03:45,3.35418,4.356,4.222333620643634,3.4644678
25,12-15 04:00,3.3221292,4.301,4.15867317889581,3.528496
25,12-15 04:15,3.2771256,4.182,4.069328133730688,3.5772955
25,12-15 04:30,3.2197583,4.062,3.956217367811105,3.6122901
25,12-15 04:45,3.1509755,3.942,3.821733196155883,3.6304448
25,12-15 05:00,3.0730357,3.747,3.668546119369621,3.6324415
25,12-15 05:15,2.9859533,3.551,3.4994465105124024,3.61824
25,12-15 05:30,2.8922496,3.366,3.3172496918168246,3.586989
25,12-15 05:45,2.7923186,3.156,3.1247731748776784,3.5400307
25,12-15 06:00,2.6887567,2.969,2.9248760816525365,3.4765463
25,12-15 06:15,2.5830593,2.7029999999999994,2.720535461834879,3.3986313
25,12-15 06:30,2.4779377,2.56,2.514925847281177,3.306236
25,12-15 06:45,2.374859,2.332,2.311468434952249,3.2018008
25,12-15 07:00,2.2748075,2.163,2.1138245415175616,3.0868037
25,12-15 07:15,2.1807866,1.981,1.9258221216372635,2.963719
25,12-15 07:30,2.093547,1.831,1.7513203771883925,2.8340998
25,12-15 07:45,2.0609584,1.688,1.5940320108305623,2.6942625
25,12-15 08:00,1.9864476,1.5910000000000002,1.457332086620763,2.556172
25,12-15 08:15,1.9220562,1.513,1.3440846012527534,2.4221623
25,12-15 08:30,1.8697236,1.46,1.2565127924202195,2.2893333
25,12-15 08:45,1.8290386,1.3849999999999998,1.1961285230621443,2.1620328
25,12-15 09:00,1.8019893,1.392,1.1637226525322946,2.0414536
25,12-15 09:15,1.7889888,1.418,1.159405789461734,1.9301491
25,12-15 09:30,1.7897998,1.472,1.182680249527328,1.829187
25,12-15 09:45,1.8041837,1.497,1.2325213229856269,1.7414763
25,12-15 10:00,1.8316507,1.6,1.3074494795157736,1.6668397
25,12-15 10:15,1.8719623,1.682,1.405583452881732,1.6062269
25,12-15 10:30,1.9241573,1.85,1.5246746785866436,1.5619382
25,12-15 10:45,1.9868325,1.976,1.6621331404343445,1.5340016
25,12-15 11:00,2.0589406,2.173,1.815060392667244,1.5232502
25,12-15 11:15,2.138745,2.339,1.9803057193335505,1.5285352
25,12-15 11:30,2.2260253,2.512,2.154555801320993,1.5505779
25,12-15 11:45,2.3192766,2.752,2.334458261554829,1.5901345
25,12-15 12:00,2.4184155,2.8960000000000004,2.51676790892345,1.6450816
25,12-15 12:15,2.520395,3.075,2.698494531006132,1.7149664
25,12-15 12:30,2.6238978,3.251,2.877025634524778,1.7978541
25,12-15 12:45,2.7268932,3.423,3.0501986561644308,1.8932382
25,12-15 13:00,2.8290682,3.571,3.216304959600266,1.9994938
25,12-15 13:15,2.9282265,3.695,3.374020926958532,2.1139958
25,12-15 13:30,3.023716,3.816,3.5222769193903756,2.235657
25,12-15 13:45,3.1125493,3.947000000000001,3.660089036694409,2.3606906
25,12-15 14:00,3.1728268,4.091,3.786388010776057,2.4832761
25,12-15 14:15,3.2409432,4.242,3.89988191651044,2.615728
25,12-15 14:30,3.2975497,4.333,3.998983714863172,2.7433374
25,12-15 14:45,3.3419983,4.426,4.081822048276859,2.8691943
25,12-15 15:00,3.3739917,4.481,4.146336987821134,2.989704
25,12-15 15:15,3.392189,4.481,4.19044516084808,3.104322
25,12-15 15:30,3.3979993,4.455,4.21224474943288,3.2128124
25,12-15 15:45,3.3877878,4.386,4.210223370732323,3.3097353
25,12-15 16:00,3.3648527,4.294,4.183432299256061,3.396819
25,12-15 16:15,3.3269067,4.193,4.131598644358853,3.470378
25,12-15 16:30,3.275173,4.155,4.055160906177481,3.5326495
25,12-15 16:45,3.210914,4.054,3.955229456060254,3.5796459
25,12-15 17:00,3.13488,3.975,3.833488258597914,3.6127758
25,12-15 17:15,3.0481079,3.828,3.692064215157341,3.629048
25,12-15 17:30,2.9533408,3.522,3.533393828966671,3.629196
25,12-15 17:45,2.8509119,3.325,3.360113162536099,3.6131752
25,12-15 18:00,2.7435296,3.046,3.1749874800450035,3.5801935
25,12-15 18:15,2.6318603,2.948,2.980884299544964,3.5315993
25,12-15 18:30,2.5186157,2.7780000000000005,2.780781165529756,3.4666138
25,12-15 18:45,2.4054475,2.481,2.577790191889109,3.387354
25,12-15 19:00,2.2952383,2.289,2.375177580228759,3.2938035
25,12-15 19:15,2.1894758,2.055,2.176358565761036,3.1884253
25,12-15 19:30,2.089369,1.872,1.9848554714279207,3.0727146
25,12-15 19:45,1.9976884,1.763,1.8042167614286029,2.9491456
25,12-15 20:00,1.9153265,1.601,1.637905335365256,2.8192878
25,12-15 20:15,1.8977125,1.422,1.4891718843183344,2.679599
25,12-15 20:30,1.8277357,1.336,1.3609322380170747,2.5419302
25,12-15 20:45,1.7697952,1.237,1.255665651401161,2.4086022
25,12-15 21:00,1.7258835,1.2,1.175344612900565,2.2767296
25,12-15 21:15,1.6947972,1.13,1.1213981971284293,2.1506128
25,12-15 21:30,1.6788086,1.174,1.094702770699622,2.0314302
25,12-15 21:45,1.6776639,1.148,1.0955883690180652,1.9217099
25,12-15 22:00,1.6910329,1.209,1.12384802846586,1.8224974
25,12-15 22:15,1.7185808,1.278,1.178741005154555,1.7366542
25,12-15 22:30,1.7591631,1.398,1.2589880269179818,1.6639758
25,12-15 22:45,1.8129071,1.466,1.3627653176899543,1.6054108
25,12-15 23:00,1.8783758,1.642,1.4877112503791914,1.5631738
25,12-15 23:15,1.9542009,1.803,1.6309626828167954,1.5372962
25,12-15 23:30,2.0389276,1.998,1.7892357416733438,1.5285577
25,12-15 23:45,2.130707,2.165,1.9589579035311424,1.5357579
25,12-16 00:00,2.229126,2.332,2.136446348556168,1.5596036
25,12-16 00:15,2.3324435,2.485,2.318114443347331,1.6008109
25,12-16 00:30,2.4405472,2.658,2.5006772344032857,1.6572423
25,12-16 00:45,2.550454,2.829,2.681321364583506,1.728409
25,12-16 01:00,2.6605349,2.992999999999999,2.857806797850536,1.812364
25,12-16 01:15,2.7686534,3.177,3.0284775185713095,1.9085846
25,12-16 01:30,2.8745508,3.351,3.19217458621688,2.0154293
25,12-16 01:45,2.9761562,3.541,3.348064192535092,2.1302829
25,12-16 02:00,3.0726717,3.726,3.495411511745115,2.2520614
25,12-16 02:15,3.161452,3.871999999999999,3.633344105741078,2.376984
25,12-16 02:30,3.2433252,4.006,3.760653066660135,2.4992077
25,12-16 02:45,3.3120356,4.142,3.875674551971246,2.631359
25,12-16 03:00,3.3685088,4.236,3.9762797928584814,2.758446
25,12-16 03:15,3.4116633,4.302,4.059980754200942,2.8835583
25,12-16 03:30,3.441345,4.323,4.124135778101428,3.0031383
25,12-16 03:45,3.455978,4.334,4.166219718318417,3.1166296
25,12-16 04:00,3.4573522,4.315,4.184110433539886,3.223832
25,12-16 04:15,3.4418077,4.306,4.176340819556956,3.3192968
25,12-16 04:30,3.4127629,4.249,4.14227338463215,3.4048076
25,12-16 04:45,3.3682945,4.178,4.082170815446252,3.4766753
25,12-16 05:00,3.309785,4.079,3.997157401935661,3.5371327
25,12-16 05:15,3.238579,3.953,3.889087791630233,3.5822632
25,12-16 05:30,3.1556363,3.822,3.760356588746881,3.6134582
25,12-16 05:45,3.0622928,3.652,3.6136912843299864,3.6277716
25,12-16 06:00,2.9614272,3.47,3.45197012994263,3.6259923
25,12-16 06:15,2.8533251,3.2700000000000005,3.278096514962747,3.6080692
25,12-16 06:30,2.741023,3.086,3.0949449289736233,3.5732749
25,12-16 06:45,2.6253138,2.882,2.905374621920279,3.5229623
25,12-16 07:00,2.508827,2.661,2.7122902447612445,3.4563944
25,12-16 07:15,2.3935335,2.506,2.5187179447334564,3.375711
25,12-16 07:30,2.2823834,2.332,2.327862721233563,3.2809327
