Time_Step,Actual_Values,Utide_Values,Predicted_Values
0,1.2455833105147864,1.272168384075222,1.2999532
1,1.093583310514786,1.136357010313788,1.1803371
2,0.9375833105147864,0.9827833093912348,1.0002792
3,0.7365833105147863,0.8132659808445937,0.83411276
4,0.5335833105147861,0.6297216211996486,0.6347764
5,0.2985833105147862,0.4342806077398579,0.4294978
6,0.0675833105147863,0.2294055063882537,0.20389238
7,-0.1514166894852134,0.0179780325566455,-0.023095531
8,-0.3874166894852137,-0.1966712468793884,-0.23347232
9,-0.6344166894852138,-0.4108027597030409,-0.45923194
10,-0.8644166894852139,-0.6203740866490645,-0.6540541
11,-1.0664166894852138,-0.8211954718475303,-0.86096483
12,-1.262416689485214,-1.009109157153327,-1.0627595
13,-1.4424166894852135,-1.1801651126540813,-1.2303008
14,-1.5874166894852133,-1.330770431467763,-1.3850094
15,-1.7244166894852138,-1.4577993370474651,-1.4928068
16,-1.8364166894852136,-1.558662247902182,-1.603237
17,-1.9074166894852136,-1.6313424006499628,-1.6928631
18,-1.9574166894852136,-1.674414514544523,-1.740087
19,-1.9554166894852136,-1.6870602481375483,-1.7695556
20,-1.9364166894852135,-1.6690900197352,-1.7512195
21,-1.853416689485213,-1.6209719578049722,-1.7350274
22,-1.7724166894852136,-1.543859083927858,-1.6659365
23,-1.6454166894852138,-1.4395985593391862,-1.5838244
24,-1.5154166894852137,-1.3107044621245665,-1.4643621
25,-1.340416689485214,-1.1602793266037588,-1.3359015
26,-1.157416689485214,-0.9918791706212512,-1.1877497
27,-0.959416689485214,-0.8093296897414629,-1.032409
28,-0.7364166894852137,-0.6165144970021796,-0.83284223
29,-0.5104166894852136,-0.4171661964665821,-0.6283039
30,-0.2664166894852138,-0.2146945489229053,-0.44110897
31,-0.0504166894852135,-0.0120816420819904,-0.22431387
32,0.1535833105147861,0.1881377607075811,-0.013107593
33,0.3495833105147864,0.3838095425274612,0.19483244
34,0.5245833105147863,0.5730244742142451,0.3842959
35,0.6885833105147864,0.7539461206288061,0.5978924
36,1.089583310514786,0.9246441390259356,0.75511587
37,1.2285833105147863,1.082974599824824,0.92848176
38,1.350583310514786,1.2265394815735988,1.0849425
39,1.4435833105147862,1.3527406569692613,1.2458817
40,1.525583310514786,1.458922979257703,1.3517399
41,1.5325833105147864,1.5425811658684725,1.4589589
42,1.5485833105147864,1.6015906989588296,1.5075717
43,1.520583310514786,1.6344171092883972,1.5466505
44,1.458583310514786,1.6402622108856808,1.5644379
45,1.379583310514786,1.6191192299828656,1.5771335
46,1.288583310514786,1.5717281853847156,1.5504149
47,1.1735833105147857,1.4994439897184402,1.4976114
48,1.042583310514786,1.4040477600717152,1.4058021
49,0.8835833105147859,1.2875427114489693,1.2989923
50,0.7125833105147861,1.1519775141354782,1.179231
51,0.5095833105147859,0.9993319127323296,1.0434011
52,0.3135833105147861,0.8314838498752439,0.88138425
53,0.0865833105147862,0.650258112552117,0.6654387
54,-0.1564166894852137,0.4575379630747195,0.48592967
55,-0.3714166894852138,0.2554076042909574,0.28611508
56,-0.599416689485214,0.0462875775585986,0.07572454
57,-0.8054166894852136,-0.1669719350703788,-0.13416587
58,-0.9864166894852138,-0.3810644152369808,-0.3531425
59,-1.1644166894852137,-0.5922761016224168,-0.5629127
60,-1.3414166894852135,-0.7966039471854388,-0.7648845
61,-1.4744166894852135,-0.989922257691968,-0.94553435
62,-1.5774166894852135,-1.1681702972448855,-1.0980738
63,-1.6814166894852138,-1.3275328062049228,-1.2578735
64,-1.741416689485214,-1.464591437791411,-1.4022523
65,-1.7674166894852137,-1.5764354217134036,-1.5002531
66,-1.7784166894852138,-1.6607313008735909,-1.5891984
67,-1.7604166894852138,-1.7157609174518382,-1.6399434
68,-1.6814166894852138,-1.7404415433602975,-1.6686976
69,-1.600416689485214,-1.734341194828617,-1.6510804
70,-1.491416689485214,-1.6976962436611387,-1.6273446
71,-1.360416689485214,-1.6314296398161392,-1.5675441
72,-1.2204166894852138,-1.5371593680823668,-1.4749335
73,-1.0384166894852138,-1.4171811343035616,-1.364013
74,-0.8454166894852138,-1.274408990283282,-1.2341455
75,-0.6414166894852138,-1.112263278730774,-1.0666553
76,-0.4264166894852138,-0.9345059284914332,-0.9238509
77,-0.1864166894852138,-0.7450362944398015,-0.7221936
78,0.039583310514786,-0.5476728169633512,-0.53696984
79,0.2395833105147864,-0.345953440658003,-0.33590293
80,0.4135833105147866,-0.1429884855209884,-0.120781116
81,0.5835833105147862,0.0586075962493594,0.069478594
82,0.7415833105147861,0.2566932049651714,0.29224256
83,0.8975833105147861,0.4494909578749335,0.4989772
84,1.0545833105147864,0.6354172248814398,0.7070831
85,1.1915833105147864,0.8128875052475213,0.8836284
86,1.3205833105147864,0.9801415049945004,1.0512772
87,1.4155833105147866,1.135128692618449,1.1993697
88,1.5035833105147869,1.2754829572556663,1.342309
89,1.5775833105147865,1.3985962929083795,1.4626617
90,1.6055833105147856,1.5017803968675123,1.5559826
91,1.595583310514786,1.5824862335151246,1.6271201
92,1.5795833105147865,1.6385392622411252,1.6862297
93,1.5095833105147858,1.6683450381923557,1.7012361
94,1.4275833105147862,1.671026782556957,1.7022854
95,1.330583310514786,1.646471723257782,1.6624651
96,1.2165833105147863,1.5952830242858145,1.6265641
97,1.080583310514786,1.518654269879453,1.5222352
98,0.918583310514786,1.4181992427734125,1.4394642
99,0.7375833105147861,1.2957775834461007,1.2891247
