Time_Step,Actual_Values,Predicted_Values,Utide_Values,R2_Scores,Utide_R2_Scores
0,1.2455833105147864,1.2422255,1.2721683840752225,,
1,1.0935833105147859,1.0881768,1.136357010313788,,
2,0.9375833105147865,0.9170592,0.982783309391235,,
3,0.7365833105147863,0.731243,0.8132659808445936,,
4,0.5335833105147861,0.53340083,0.6297216211996488,,
5,0.29858331051478626,0.32637787,0.4342806077398579,,
6,0.06758331051478633,0.11315594,0.2294055063882535,,
7,-0.15141668948521345,-0.10312709,0.0179780325566456,,
8,-0.3874166894852137,-0.31918252,-0.1966712468793883,,
9,-0.6344166894852138,-0.5315491,-0.410802759703041,,
10,-0.8644166894852139,-0.73665816,-0.6203740866490645,,
11,-1.0664166894852138,-0.9308736,-0.8211954718475303,,
12,-1.262416689485214,-1.1105546,-1.009109157153327,,
13,-1.4424166894852135,-1.2722541,-1.1801651126540813,,
14,-1.5874166894852133,-1.4128807,-1.330770431467763,,
15,-1.7244166894852138,-1.5297483,-1.4577993370474651,,
16,-1.8364166894852134,-1.6206145,-1.558662247902182,,
17,-1.9074166894852136,-1.6839131,-1.6313424006499628,,
18,-1.9574166894852136,-1.7187828,-1.6744145145445228,,
19,-1.9554166894852136,-1.7251042,-1.6870602481375483,,
20,-1.9364166894852135,-1.7034016,-1.6690900197352,0.9828851688943623,0.9629365804274347
21,-1.8534166894852133,-1.6550541,-1.6209719578049722,0.9822912078340119,0.9628099724829428
22,-1.7724166894852136,-1.5819622,-1.543859083927858,0.9816757861096979,0.9623735647145574
23,-1.6454166894852138,-1.4862791,-1.4395985593391862,0.9812758563614014,0.9618880307528013
24,-1.5154166894852137,-1.3706596,-1.3107044621245665,0.9808782571382438,0.9611042336478334
25,-1.340416689485214,-1.2376446,-1.1602793266037588,0.9806865935113935,0.9603423528751505
26,-1.157416689485214,-1.0899148,-0.9918791706212512,0.9805945268178934,0.9595429971667779
27,-0.9594166894852141,-0.9300153,-0.8093296897414628,0.9805721989105171,0.9587958404618804
28,-0.7364166894852137,-0.760563,-0.6165144970021798,0.9805619814359703,0.9583301682675028
29,-0.5104166894852136,-0.5839662,-0.4171661964665821,0.98045478608227,0.9581980151812641
30,-0.2664166894852138,-0.40292755,-0.2146945489229054,0.9800436737461184,0.9585568444501555
31,-0.050416689485213516,-0.22010382,-0.0120816420819906,0.979481425048665,0.9592946234965082
32,0.1535833105147861,-0.03832801,0.188137760707581,0.9788867743798202,0.9603970247362357
33,0.34958331051478647,0.13941705,0.3838095425274613,0.9783236543267835,0.9618376326595011
34,0.5245833105147863,0.31030542,0.573024474214245,0.9779638693676029,0.9634950453651767
35,0.6885833105147864,0.47154334,0.7539461206288063,0.9778072632982505,0.9652764929238182
36,1.0895833105147859,0.6207437,0.9246441390259352,0.9738864651438094,0.967235057436393
37,1.2285833105147865,0.7559267,1.082974599824824,0.9706621606847317,0.9692935751662661
38,1.350583310514786,0.87562364,1.226539481573599,0.9680468140694258,0.9713510638524158
39,1.4435833105147862,0.97873735,1.352740656969261,0.9661158130439399,0.9733452927506231
40,1.525583310514786,1.0642647,1.458922979257703,0.9646022358302072,0.9751910592338568
41,1.5325833105147864,1.1308217,1.5425811658684725,0.9640872718014929,0.9767994234723759
42,1.5485833105147864,1.1779109,1.6015906989588296,0.9639611127838734,0.9781268252022597
43,1.5205833105147861,1.2050184,1.6344171092883972,0.9642871748800486,0.9790625502590317
44,1.458583310514786,1.2118244,1.640262210885681,0.9649640794881275,0.9794993643380404
45,1.379583310514786,1.1981804,1.6191192299828656,0.9657930840966789,0.9794392689463188
46,1.288583310514786,1.1641722,1.5717281853847156,0.9666254691648678,0.9789571636990531
47,1.1735833105147857,1.1101472,1.4994439897184402,0.9673825583687218,0.9780325952975272
48,1.0425833105147861,1.0368439,1.4040477600717152,0.967988559944327,0.9767066512089941
49,0.8835833105147859,0.9453207,1.287542711448969,0.9683597928110809,0.9748754714805112
50,0.7125833105147861,0.83690166,1.1519775141354784,0.9684306855288561,0.9725837478590035
51,0.5095833105147859,0.71326405,0.9993319127323296,0.9680394341133671,0.9696090102123155
52,0.3135833105147861,0.5762401,0.8314838498752439,0.9672122790797884,0.9662082568583567
53,0.08658331051478625,0.4278929,0.6502581125521169,0.9657203996805052,0.9621211720720874
54,-0.15641668948521378,0.2704677,0.4575379630747194,0.9633734448787258,0.9572634432438327
55,-0.3714166894852138,0.10640633,0.2554076042909575,0.9604738280622767,0.9522504519801833
56,-0.599416689485214,-0.061717834,0.0462875775585985,0.9568980522742394,0.9470621009746187
57,-0.8054166894852136,-0.23127025,-0.1669719350703789,0.9529728066996561,0.9422061318351864
58,-0.9864166894852138,-0.3994455,-0.3810644152369808,0.9490812925089601,0.9381431146398057
59,-1.1644166894852137,-0.56344837,-0.5922761016224167,0.9452699183820527,0.9349009613935216
60,-1.3414166894852135,-0.7204667,-0.7966039471854388,0.9415152456662134,0.9324153973681438
61,-1.4744166894852135,-0.86765164,-0.989922257691968,0.9383096451654729,0.9309970646632542
62,-1.5774166894852135,-1.0022413,-1.1681702972448855,0.9358377668505212,0.9306049792691855
63,-1.6814166894852138,-1.1215961,-1.3275328062049228,0.9338520098875996,0.9308986610692285
64,-1.741416689485214,-1.2232395,-1.4645914377914115,0.9325452396011739,0.9318030613815901
65,-1.7674166894852137,-1.3050349,-1.5764354217134036,0.9319033476110468,0.9331045603652085
66,-1.7784166894852138,-1.3651872,-1.6607313008735909,0.9317226260824869,0.9345576859441711
67,-1.7604166894852138,-1.4022746,-1.7157609174518382,0.9319062525977737,0.9359868145862486
68,-1.6814166894852138,-1.4153997,-1.7404415433602975,0.932471862101177,0.937159370791285
69,-1.600416689485214,-1.4041384,-1.7343411948286171,0.9331631008144514,0.93798184032434
70,-1.491416689485214,-1.368811,-1.697696243661139,0.9338669378039929,0.9383524532018562
71,-1.360416689485214,-1.3101887,-1.6314296398161392,0.9344766731242157,0.9382254276222699
72,-1.2204166894852138,-1.2297153,-1.5371593680823668,0.9349224396632795,0.9376718656570039
73,-1.0384166894852138,-1.1293609,-1.4171811343035616,0.9351047480991708,0.9365350646796735
74,-0.8454166894852138,-1.0114917,-1.274408990283282,0.9349625570172514,0.9348792911302783
75,-0.6414166894852138,-0.8787608,-1.112263278730774,0.9344539834924733,0.9327747289731552
76,-0.42641668948521383,-0.73387873,-0.9345059284914332,0.9335418404480363,0.9302833827719835
77,-0.1864166894852138,-0.5796555,-0.7450362944398015,0.9320807487564566,0.9273051550325502
78,0.03958331051478604,-0.41879383,-0.5476728169633512,0.9301845636158527,0.9241202804233565
79,0.23958331051478646,-0.25393486,-0.345953440658003,0.9281173766586717,0.9211240447458939
80,0.4135833105147866,-0.087653264,-0.1429884855209884,0.9261595390627748,0.9186507166645186
81,0.5835833105147862,0.07746298,0.0586075962493594,0.9243791398716091,0.9167517105671622
82,0.7415833105147861,0.23884152,0.2566932049651715,0.9228779447868019,0.9155020256098307
83,0.8975833105147861,0.39393482,0.4494909578749336,0.9216432802537806,0.9148596888254754
84,1.0545833105147864,0.5403132,0.6354172248814398,0.9206133657176536,0.9147511883719458
85,1.1915833105147864,0.6756788,0.8128875052475214,0.9198511906753928,0.9151954748963615
86,1.3205833105147864,0.7979392,0.9801415049945004,0.9193011538708,0.9161138555182514
87,1.4155833105147866,0.90526146,1.1351286926184487,0.9190559152360926,0.9174830423580119
88,1.5035833105147869,0.99610454,1.2754829572556663,0.9190041504607036,0.9191648686387379
89,1.5775833105147865,1.0692195,1.3985962929083802,0.9190731278632837,0.9210457725870593
90,1.6055833105147856,1.1236901,1.5017803968675123,0.9193612610732762,0.9230129536658999
91,1.595583310514786,1.1588851,1.5824862335151246,0.9198850423726486,0.9248994491855153
