Time_Step,Actual_Values,Predicted_Values,Utide_Values,Step_MSE,Step_MAE,Step_R2_Actual_vs_Predicted,Step_R2_Actual_vs_Utide
0,-0.41041668948521387,-0.36616936,-0.05732864568190386,0.0019578258780566793,0.044247326224944705,,
1,-0.6454166894852138,-0.58452886,-0.2612205842509069,0.003707327361727148,0.06088782605519061,,
2,-0.8904166894852138,-0.7944441,-0.4658026021839072,0.009210740971473416,0.09597260531773333,,
3,-1.114416689485214,-0.9945826,-0.6675955308423309,0.01436021057473165,0.11983409604420459,,
4,-1.3094166894852135,-1.1801169,-0.8627677683668217,0.016718437665672416,0.1292997976242516,,
5,-1.491416689485214,-1.345799,-1.047290620858737,0.0212045204410262,0.14561772021641528,,
6,-1.6484166894852141,-1.4873034,-1.2171489600944914,0.025957499718443643,0.1611133132873992,,
7,-1.7844166894852138,-1.6014584,-1.3685710125362878,0.033473724607661744,0.18295825919499165,,
8,-1.8844166894852137,-1.6859748,-1.4982390918727009,0.039379169075941196,0.19844185313572638,,
9,-1.9674166894852136,-1.7383502,-1.603449877313462,0.05247147815136875,0.2290665365158533,,
10,-2.0054166894852137,-1.758598,-1.682206283653439,0.06091948028395186,0.24681871947636358,,
11,-2.034416689485214,-1.7468395,-1.733239441465222,0.08270062650224376,0.28757716616978435,,
12,-2.002416689485214,-1.7039794,-1.7559743179125091,0.08906483188390142,0.29843731650700356,,
13,-1.9654166894852134,-1.6311052,-1.7504623698840345,0.1117641823286682,0.3343115049301597,,
14,-1.8954166894852136,-1.5321087,-1.717307129483317,0.13199272100947632,0.3633080249725793,,
15,-1.7784166894852138,-1.408241,-1.6576034878198904,0.13703001624404726,0.37017565593113666,,
16,-1.6914166894852136,-1.2611289,-1.5729006296802512,0.18514757968430945,0.4302877870499109,,
17,-1.5334166894852137,-1.0973551,-1.4651854477230049,0.19014968598523813,0.436061562150619,,
18,-1.372416689485214,-0.91803133,-1.3368718009673797,0.20646605048241942,0.45438535460819973,,
19,-1.1674166894852138,-0.7258551,-1.1907747529845607,0.19497662664428475,0.44156157740940816,,
20,-0.9724166894852139,-0.5255036,-1.0300498625369214,0.19973133118215988,0.4469131136833645,0.6094274301945515,0.5547047530427784
21,-0.7254166894852139,-0.3196399,-0.8580857741176837,0.16465480987562411,0.40577679809918177,0.6211057841650023,0.600689126057159
22,-0.519416689485214,-0.110427596,-0.6783517779569394,0.1672720788557069,0.4089890938102224,0.6472538887482953,0.6531367751024876
23,-0.2984166894852138,0.09732371,-0.49421691469670737,0.15661046238871665,0.3957403977214313,0.6847972574186137,0.7059259701569343
24,-0.10941668948521358,0.3017514,-0.30876948897750073,0.16905920192316615,0.4111680944859002,0.7209075072106458,0.7529689008142129
25,0.08858331051478617,0.50102115,-0.12467183383546425,0.17010496877842293,0.4124378362595058,0.7551730155692581,0.7930579645746003
26,0.27658331051478613,0.6904367,0.05591756154453769,0.17127464524450062,0.41385341033329737,0.7854184412093738,0.8259669117749846
27,0.4465833105147865,0.87012833,0.23133377757792237,0.17939038655363254,0.4235450230537865,0.8103749108055408,0.8525029857391437
