Time_Step,Actual_Values,Predicted_Values,Utide_Values,Step_MSE,Step_MAE,Step_R2_Actual_vs_Predicted,Step_R2_Actual_vs_Utide
0,-0.41041668948521387,-0.39490056,-0.05732864568190386,0.00024075026243981838,0.01551612910618555,,
1,-0.6454166894852138,-0.629617,-0.2612205842509069,0.00024963095303078773,0.015799713700912044,,
2,-0.8904166894852138,-0.856703,-0.4658026021839072,0.001136613979391613,0.03371370610584978,,
3,-1.114416689485214,-1.0717798,-0.6675955308423309,0.0018179003247374042,0.04263684234013354,,
4,-1.3094166894852135,-1.2710128,-0.8627677683668217,0.0014748600294433789,0.038403906434676394,,
5,-1.491416689485214,-1.4505512,-1.047290620858737,0.0016699921352137618,0.04086553725590503,,
6,-1.6484166894852141,-1.607113,-1.2171489600944914,0.0017059944569015472,0.04130368575444021,,
7,-1.7844166894852138,-1.7380419,-1.3685710125362878,0.0021506231637935403,0.04637481173863178,,
8,-1.8844166894852137,-1.8407167,-1.4982390918727009,0.0019096873655755399,0.04369996985783331,,
9,-1.9674166894852136,-1.9132845,-1.603449877313462,0.0029302895887926028,0.05413214930882204,,
10,-2.0054166894852137,-1.954585,-1.682206283653439,0.002583865111917612,0.05083173331608526,,
11,-2.034416689485214,-1.9640843,-1.733239441465222,0.00494664956595084,0.07033242186894206,,
12,-2.002416689485214,-1.9417709,-1.7559743179125091,0.003677910421789419,0.06064577826847817,,
13,-1.9654166894852134,-1.8889239,-1.7504623698840345,0.005851149376959727,0.07649280604710307,,
14,-1.8954166894852136,-1.8070378,-1.717307129483317,0.007810822741549972,0.08837885913243038,,
15,-1.7784166894852138,-1.6976213,-1.6576034878198904,0.006527887606454055,0.08079534396519428,,
16,-1.6914166894852136,-1.5640295,-1.5729006296802512,0.016227507462673693,0.1273872343002771,,
17,-1.5334166894852137,-1.4090804,-1.4651854477230049,0.015459516324130894,0.1243363033234095,,
18,-1.372416689485214,-1.235544,-1.3368718009673797,0.018734142353960714,0.13687272319187893,,
19,-1.1674166894852138,-1.0468535,-1.1907747529845607,0.014535472452480724,0.12056314715733296,,
20,-0.9724166894852139,-0.84647197,-1.0300498625369214,0.015862073546825672,0.1259447241722561,0.9724619853839936,0.5547047530427784
21,-0.7254166894852139,-0.6375421,-0.8580857741176837,0.0077219384572846635,0.08787456092228663,0.9740318976189399,0.600689126057159
22,-0.519416689485214,-0.4239028,-0.6783517779569394,0.009122901246924959,0.09551387986531046,0.9762098779831334,0.6531367751024876
23,-0.2984166894852138,-0.20885572,-0.49421691469670737,0.008021167546338482,0.08956097111096151,0.9790906055723135,0.7059259701569343
24,-0.10941668948521358,0.004730768,-0.30876948897750073,0.013029642058579469,0.11414745752131086,0.9812806249792048,0.7529689008142129
25,0.08858331051478617,0.2131879,-0.12467183383546425,0.015526304509729392,0.12460459265103109,0.9831965266620324,0.7930579645746003
26,0.27658331051478613,0.41372213,0.05591756154453769,0.018807055172379628,0.137138817161224,0.9847333882891836,0.8259669117749846
27,0.4465833105147865,0.6031074,0.23133377757792237,0.024499788331450844,0.15652408227314685,0.9857637800076157,0.8525029857391437
28,0.6445833105147862,0.77864623,0.40030398252883,0.01797286656795203,0.1340629201828456,0.9871752868432296,0.8738273759592902
29,0.826583310514786,0.9385304,0.5617719781898193,0.012532147596453755,0.11194707497944623,0.9886561561982184,0.8907642361192246
30,1.0065833105147861,1.080777,0.7146838688033521,0.005504710840003516,0.07419373854985012,0.9901700533273395,0.9041261602166494
31,1.1765833105147867,1.2039042,0.8577809040165307,0.0007464283748977846,0.0273208414017172,0.9915590153184829,0.9146213792362698
32,1.3225833105147862,1.3064746,0.9894467312909394,0.0002594916350336993,0.01610874405513041,0.9926827101175866,0.9229523705473986
33,1.4405833105147865,1.3871357,1.1076468033543816,0.0028566423562136696,0.053447566419937864,0.993512844213737,0.9297094108006136
34,1.5515833105147858,1.4450103,1.20997932546831,0.011357805621474122,0.10657300606379705,0.9940015501747252,0.9351434768756206
35,1.5935833105147863,1.4792821,1.2938339503621412,0.013064757413756426,0.11430116978297478,0.9943457741944134,0.9398727614875849
36,1.6075833105147863,1.4892893,1.3566314780476532,0.013993476767650373,0.1182940267623449,0.9945900965906589,0.9440057780711981
37,1.5985833105147864,1.4748311,1.3961003572465627,0.015314608548332415,0.12375220623622196,0.9947478613882212,0.9475805434213287
38,1.5645833105147864,1.4360716,1.410537907432179,0.016515250925435414,0.12851167622218385,0.9948351933442948,0.9506318118455269
39,1.493583310514786,1.3736384,1.399007602627737,0.014386783598722757,0.11994491902003501,0.9949067372343884,0.9531934561636045
40,1.423583310514787,1.2885338,1.3614377488887308,0.018238368453382777,0.13504950371394475,0.9948865211139372,0.9552893362760688
